x,y,value,Year,Day_in_Year,elevation,evapotranspiration,SPL4_Soilmoisture,Land_Surface_Temp_K,Precipictation_m,Surface_Pres_Pa
143.785,-37.485,3.4615884,2018.0,289.0,422.987060546875,1.4165990352630615,0.1688391417264938,14065.785714285714,0.000800403591711,97500.34375
144.9925,-37.5075,4.054734,2018.0,289.0,264.8441467285156,2.362786769866944,0.2075036317110061,14292.0,0.0014172152150422,97462.90625
146.36,-37.53,0.31338987,2018.0,289.0,709.00927734375,1.5983879566192627,0.225534439086914,14038.53846153846,0.0023888594005256,91323.4453125
148.4325,-37.5525,0.118699126,2018.0,289.0,263.7580871582031,1.720140814781189,0.1240067780017852,14101.272727272728,0.0019471789710223,97963.1484375
142.32250000000002,-37.5775,0.9592875,2018.0,289.0,214.97000122070312,0.7913402318954468,0.1484938263893127,14181.133333333331,0.0007714332314208,98310.328125
145.3075,-37.6,2.8919673,2018.0,289.0,218.8959045410156,1.70059072971344,0.254251480102539,14224.666666666666,0.0020470155868679,97624.140625
148.4525,-37.6225,0.31514978,2018.0,289.0,156.6670379638672,1.8980865478515625,0.1286937743425369,14140.333333333334,0.0019471789710223,97963.1484375
142.9575,-37.6475,4.5763054,2018.0,289.0,256.167236328125,2.46181869506836,0.1496832519769668,14002.266666666666,0.0008139799465425,98269.828125
146.3825,-37.67,0.15931757,2018.0,289.0,613.0013427734375,1.8462306261062624,0.1991713196039199,14068.384615384615,0.0023888594005256,91323.4453125
141.29500000000002,-37.695,0.45035335,2018.0,289.0,48.3471794128418,1.909887433052063,0.1441165953874588,14146.066666666668,0.0007543496321886,100215.421875
145.42000000000002,-37.7175,3.5314314,2018.0,289.0,106.41837310791016,3.4372634887695312,0.266726553440094,14231.0,0.0020470155868679,97624.140625
141.44750000000002,-37.7425,0.4239824,2018.0,289.0,161.675048828125,1.2820476293563845,0.1284694671630859,14135.5625,0.0007543496321886,100215.421875
146.83,-37.765,0.3895449,2018.0,289.0,299.38580322265625,1.8298386335372925,0.1175576522946357,14184.07142857143,0.0023362988140434,96225.4765625
146.44750000000002,-37.79,0.3399578,2018.0,289.0,926.7440185546876,1.8377296924591064,0.1750024110078811,14029.23076923077,0.0019769838545471,93205.140625
145.1,-37.8175,0.5514131,2018.0,289.0,110.6996841430664,1.815856695175171,0.2418979555368423,14252.0,0.0014551311032846,100632.578125
147.6275,-37.845,0.77125037,2018.0,289.0,-0.6984724998474121,3.830449104309082,0.1141765564680099,14398.727272727272,0.0015566743677482,99600.6875
146.5025,-37.875,0.49960065,2018.0,289.0,480.9558410644531,1.967655897140503,0.1777731627225875,14042.923076923076,0.0021454743109643,94020.359375
141.51000000000002,-37.9075,0.08605681,2018.0,289.0,157.8471221923828,2.0142781734466557,0.1279921233654022,14064.625,0.0008121469290927,100137.6875
143.9575,-37.9375,5.709585,2018.0,289.0,196.0248870849609,2.0459208488464355,0.1235324814915657,14184.23076923077,0.0012305427808314,97544.5
141.5975,-37.97,0.28944308,2018.0,289.0,107.73600006103516,1.5095579624176023,0.131409078836441,14077.0,0.0008121469290927,100137.6875
141.1775,-38.0025,0.67829823,2018.0,289.0,32.03901290893555,1.7464207410812378,0.153320699930191,14017.1875,0.0009643714874982,101236.59375
143.48250000000002,-38.035,5.2946925,2018.0,289.0,132.0110321044922,1.4612795114517212,0.1722253113985061,14189.692307692309,0.0011923479614779,99782.8515625
142.865,-38.07,4.012532,2018.0,289.0,136.3014373779297,1.762197732925415,0.1564563810825348,14044.357142857143,0.0010276437969878,99724.640625
146.85500000000002,-38.105,1.9501544,2018.0,289.0,19.95768928527832,1.5137608051300049,0.1113137528300285,14160.46153846154,0.0015324734849855,99712.84375
144.625,-38.1425,3.9137213,2018.0,289.0,82.80328369140625,1.6433714628219604,0.1365334838628769,14050.53846153846,0.0013513216981664,100679.390625
146.405,-38.1775,1.6057379,2018.0,289.0,48.47059631347656,1.7662739753723145,0.2356566041707992,14241.636363636364,0.0019867839291691,97340.390625
142.0775,-38.215,3.848898,2018.0,289.0,55.62975692749024,2.891934394836426,0.1411192566156387,14175.6,0.0008258112356998,100169.96875
141.645,-38.2525,3.7237623,2018.0,289.0,24.971376419067383,2.730217218399048,0.1239037811756134,14099.384615384615,0.0007922609802335,101132.9140625
143.6725,-38.2925,5.461607,2018.0,289.0,124.54803466796876,1.616468071937561,0.1552755981683731,14072.76923076923,0.0019956165924668,99799.6015625
146.35,-38.335,3.0067267,2018.0,289.0,74.4103012084961,3.273932933807373,0.209186166524887,14075.181818181818,0.0025963680818676,98847.640625
145.845,-38.38,2.2524295,2018.0,289.0,215.6108856201172,3.218791007995605,0.2583332061767578,13953.636363636364,0.0026275985874235,100351.734375
142.78,-38.435,3.3012443,2018.0,289.0,67.95269775390625,2.1492879390716557,0.190857321023941,14143.727272727272,0.0012988781090825,100510.7578125
143.8725,-38.495,0.06523898,2018.0,289.0,509.6260070800781,2.226591110229492,0.1807208955287933,13941.53846153846,0.0014659472508355,99737.8046875
145.68,-38.565,2.458128,2018.0,289.0,29.163471221923828,2.947422504425049,0.1887694001197815,14028.636363636364,0.0036513558588922,101175.671875
143.495,-38.6525,0.18209176,2018.0,289.0,420.1647033691406,2.3930916786193848,0.255160391330719,13978.083333333334,0.0021014942321926,99734.8203125
146.24,-38.9075,0.8004944,2018.0,289.0,24.9173641204834,2.4147911071777344,0.1552717834711074,14233.272727272728,0.0030730015132576,100895.953125
140.9625,-33.98,0.86668307,2018.0,305.0,21.446983337402344,5.9823994636535645,0.1813061386346817,14862.0625,0.000536061823368,100809.71875
141.4275,-34.2775,0.10356654,2018.0,305.0,48.71138000488281,0.6467092633247375,0.0656999573111534,14857.25,0.0004519744543358,100907.4921875
142.3475,-34.425,0.18755896,2018.0,305.0,44.506935119628906,2.4680721759796143,0.1708262115716934,14726.444444444443,0.002008895156905,100809.6328125
141.7225,-34.57,0.059832767,2018.0,305.0,75.53644561767578,1.1332699060440063,0.0631385073065757,14810.555555555557,0.0003340755356475,100689.828125
141.1125,-34.692499999999995,0.14838536,2018.0,305.0,36.14992904663086,1.0036894083023071,0.0688374266028404,14899.1875,0.0005123223527334,101034.453125
141.8325,-34.7875,0.27097753,2018.0,305.0,53.45964431762695,1.5637633800506592,0.0637445673346519,14807.588235294115,0.0003769224276766,100730.0390625
142.6,-34.872499999999995,0.1368061,2018.0,305.0,64.02153015136719,1.2137240171432495,0.0635494217276573,14824.0,0.0012446462642401,100792.8671875
141.5025,-34.96,0.23408112,2018.0,305.0,54.61788177490234,0.8943224549293518,0.0640304312109947,14712.166666666666,0.0003409152850508,100682.6484375
142.95000000000002,-35.044999999999995,0.56535774,2018.0,305.0,55.32015609741211,0.6964207291603088,0.0680070146918296,14942.764705882351,0.0011895142961293,100734.6171875
141.245,-35.1325,0.33761567,2018.0,305.0,45.05480194091797,0.6798304319381714,0.0692912563681602,14945.70588235294,0.0008997854893095,100696.6484375
142.285,-35.215,0.29123148,2018.0,305.0,63.71615219116211,1.1310142278671265,0.0567214712500572,14782.105263157897,0.0006001208093948,100761.3125
143.2425,-35.2925,0.45146883,2018.0,305.0,70.35195922851562,0.4298435747623443,0.0683400854468345,14884.6875,0.0013646306470036,100766.0078125
